name,State,City,Type,address,lattitude,longitude,area (m²),area category,storage,Public Transport,Public parking,rating,Number of reviews,floor,Success Score ,Success category
Hungry Jack's Burgers South Coffs Harbour,Australia,Coffs Harbour,Food,"3 Ted Ovens Drive, Coffs Harbour, NSW",-30.3245104,153.0909429,72,1,yes,no,yes,3.3,113,0,47.88154762,0
Tamborine Mountain Coffee Plantation,Australia,Tamborine Mountain,Food,"5 Bartle Road, Tamborine Mountain, QLD",-27.9585312,153.1859425,200,2,yes,yes,no,4.6,548,0,72.5547619,2
YUMS! CHICKEN - Woolloongabba,Australia,Woolloongabba,Food,"159 Logan Road, Woolloongabba, QLD",-27.4920544,153.0405597,117,2,no,yes,no,4.5,132,0,64.96428571,1
Barmuda,Australia,Newtown,Food,"283 Australia Street, Newtown, NSW",-33.8970712,151.1784423,150,2,yes,yes,no,4.5,269,0,67.00297619,1
Health Corner Petersham,Australia,Petersham,Food,"301 Stanmore Road, Petersham, NSW",-33.8961979,151.1593281,99,1,yes,yes,yes,4.1,33,0,57.89107143,1
Asian House Carina,Australia,Carina,Food,"15 Bethel Street, Carina, QLD",-27.4914236,153.106502,41,0,no,no,yes,4.5,185,0,65.75297619,1
Elkalai,Israel,Aviv-Yafo,Food,"Elkalai St 3, Tel Aviv-Yafo","32.09101397437822, ",34.77966612,40,0,no,yes,no,4.4,416,0,67.79047619,1
burgerranch,Israel,Holon,Food,"Sokolov St 138, Holon","32.022669144519256, ",34.78548384,85,1,yes,yes,no,3.5,508,0,56.55952381,1
bandora,Israel,Ra'anana,Food,"HaHaroshet St 36, Ra'anana","32.197977654566294, ",34.88022217,150,2,yes,no,yes,3.8,137,0,55.23869048,1
simply taste,Israel, Bat Yam,Food,"Ha-Rav Nisanbaum St 29, Bat Yam","32.01245815726563, ",34.75183662,30,0,no,yes,yes,5,2,0,70.0297619,2
Caldo Gourmet Pizza Bar,Israel,Beer Sheva,Food,"Derech Metsada 47, Beer Sheva, Israel, 8435729","31.25817438378127, ",34.79218733,45,0,no,yes,yes,4.6,1800,0,91.18571429,2
Johnny Crispy,Israel,Beer Sheva,Food,"Reuven Rubin St 7, Be'er Sheva","31.259174393993202, ",34.7962865,40,0,yes,yes,yes,4.3,140,0,62.28333333,1
shawarma nobi,Israel,Ashkelon,Food,"Tsfanya St 10, Ashkelon","31.6746671488971, ",34.56973904,30,0,yes,yes,yes,4.1,252,0,61.15,1
"
Barvaz",Israel,Ashkelon,Food,"Tsfanya St 7, Ashkelon","31.67392525662098, ",34.5703298,20,0,yes,yes,yes,5,9,0,70.13392857,2
MeatMe,Israel,Ashkelon,Food,"Ezra Yesodi St 1, Ashkelon","31.661526364358586, ",34.60179119,70,1,yes,yes,yes,4.1,2016,0,87.4,2
shakty,Israel,Beer Sheva,Food,"Rabbi Akiva St 9, Be'er Sheva","31.259366443695523, ",34.79293425,20,0,no,yes,yes,4.7,361,0,71.17202381,2
crazy hot dog,Israel,Beer Sheva,Food,"Yitskhak Avinu St 5, Be'er Sheva","31.260825236757764, ",34.79488031,15,0,no,yes,yes,3.5,8,0,49.11904762,0
pizza pai ,Israel,Beer Sheva,Food,"Mivtsa Nakhshon St 60, Be'er Sheva","31.260990912472113, ",34.7874231,20,0,no,yes,yes,4.1,169,0,59.91488095,1
